selector,classifier,BER_strict,BER_MI,delta_BER,CI_lower,CI_upper,n_boot
S2N,krr,0.3207573216085936,0.30787035860421386,0.012886963004379803,-0.006501277098635239,0.03348778602350031,1000
Welch-t,krr,0.31520535237756364,0.2918119128099559,0.023393439567607855,-0.02126334705737842,0.06741101396972238,1000
F-test,krr,0.2891438991536838,0.29240886641082336,-0.0032649672571394726,-0.038329830313196256,0.026999589125812195,1000
Pearson,krr,0.2891438991536838,0.29240886641082336,-0.0032649672571394726,-0.038329830313196256,0.026999589125812195,1000
ReliefF,krr,0.2790706195305021,0.2888464601282605,-0.009775840597758401,-0.04264062380867664,0.02645990058538982,1000
Gram-Schmidt,krr,0.3316163028100406,0.31846510958056945,0.013151193229471114,-0.011135136308570758,0.04218330177650142,1000
S2N,logreg,0.34036258588117685,0.3465398886827459,-0.0061773028015689405,-0.07410031154429395,0.06057127502308521,1000
Welch-t,logreg,0.34293635262324107,0.299193585279691,0.043742767343550114,-0.0009505362543523301,0.09337673986157354,1000
F-test,logreg,0.31229047534331295,0.30537491210681034,0.0069155632365025975,-0.024923944858142456,0.03533736688947061,1000
Pearson,logreg,0.31229047534331295,0.30537491210681034,0.0069155632365025975,-0.024923944858142456,0.03533736688947061,1000
ReliefF,logreg,0.3000786591099702,0.30641425436924463,-0.006335595259274329,-0.03277476681830893,0.017837654924983667,1000
Gram-Schmidt,logreg,0.3443506917088131,0.3387114223024204,0.0056392694063927,-0.02710941113680841,0.03836807867605322,1000
