selector,classifier,replication_mode,alpha,gamma,C,n_neighbors,threshold_oof_global,mean_BER_oof,std_BER_fold,mean_True+_oof,mean_True-_oof,mean_n_selected_features,min_n_selected_features,max_n_selected_features,n_folds,n_configs_evaluated
S2N,krr,strict,10.0,0.1,,,-0.08437325172980419,0.3209685051790315,0.052193507320171806,0.6923076923076923,0.6657552973342447,40.0,40,40,10,12
S2N,krr,with_missing_indicators,10.0,0.1,,,-0.06952740606179804,0.30768573531731425,0.04889835510189497,0.6730769230769231,0.7115516062884484,40.0,40,40,10,12
Welch-t,krr,strict,1.0,,,,-0.18798917342995142,0.31563830905936174,0.05199218379994938,0.6346153846153846,0.734107997265892,40.0,40,40,10,12
Welch-t,krr,with_missing_indicators,10.0,,,,0.002797966723064871,0.2936044218938956,0.09933494881756465,0.7019230769230769,0.7108680792891319,40.0,40,40,10,12
F-test,krr,strict,10.0,0.1,,,-0.21159243730759902,0.2889084599610916,0.07631382069552066,0.8076923076923077,0.6144907723855092,40.0,40,40,10,12
F-test,krr,with_missing_indicators,10.0,,,,-0.09266566945701946,0.2925561280824438,0.07592464038090578,0.7115384615384616,0.7033492822966507,40.0,40,40,10,12
Pearson,krr,strict,10.0,0.1,,,-0.21159243730759902,0.2889084599610916,0.07631382069552066,0.8076923076923077,0.6144907723855092,40.0,40,40,10,12
Pearson,krr,with_missing_indicators,10.0,,,,-0.09266566945701946,0.2925561280824438,0.07592464038090578,0.7115384615384616,0.7033492822966507,40.0,40,40,10,12
ReliefF,krr,strict,1.0,0.01,,10.0,-0.22763472946167979,0.27988787528261216,0.06959311284077074,0.7211538461538461,0.7190704032809296,40.0,40,40,10,12
ReliefF,krr,with_missing_indicators,10.0,0.01,,10.0,-0.06518485693134643,0.29018678689731325,0.07104312089620189,0.7019230769230769,0.7177033492822966,40.0,40,40,10,12
Gram-Schmidt,krr,strict,10.0,0.01,,,-0.024743675230447945,0.33329828066670175,0.07684571853846325,0.5384615384615384,0.7949419002050581,40.0,40,40,10,12
Gram-Schmidt,krr,with_missing_indicators,1.0,,,,-0.40001166815861966,0.31894092749355907,0.06238566908984776,0.6826923076923077,0.6794258373205742,40.0,40,40,10,12
S2N,logreg,strict,,,10.0,,0.47072904872500476,0.340656054471844,0.10036287333829262,0.6057692307692307,0.7129186602870813,40.0,40,40,10,4
S2N,logreg,with_missing_indicators,,,0.01,,0.40416100359229173,0.34748803827751196,0.06521981379096642,0.75,0.5550239234449761,40.0,40,40,10,4
Welch-t,logreg,strict,,,1.0,,0.5983602507344885,0.34295967190704035,0.09453039379067785,0.5,0.8140806561859193,40.0,40,40,10,4
Welch-t,logreg,with_missing_indicators,,,0.01,,0.505959615724288,0.30014393501235603,0.0900235321375354,0.6826923076923077,0.7170198222829802,40.0,40,40,10,4
F-test,logreg,strict,,,0.01,,0.48133778049274895,0.3121746674378254,0.07736890017258254,0.6538461538461539,0.7218045112781954,40.0,40,40,10,4
F-test,logreg,with_missing_indicators,,,1.0,,0.5286968450647964,0.30613794100636205,0.059983034950238844,0.6057692307692307,0.7819548872180451,40.0,40,40,10,4
Pearson,logreg,strict,,,0.01,,0.48133778049274895,0.3121746674378254,0.07736890017258254,0.6538461538461539,0.7218045112781954,40.0,40,40,10,4
Pearson,logreg,with_missing_indicators,,,1.0,,0.5286968450647964,0.30613794100636205,0.059983034950238844,0.6057692307692307,0.7819548872180451,40.0,40,40,10,4
ReliefF,logreg,strict,,,0.1,10.0,0.40631540693970053,0.3017147326357852,0.08278617644594272,0.7403846153846154,0.6561859193438141,40.0,40,40,10,4
ReliefF,logreg,with_missing_indicators,,,0.1,10.0,0.4302311803184964,0.3079354855670645,0.09286089187818945,0.7115384615384616,0.6725905673274094,40.0,40,40,10,4
Gram-Schmidt,logreg,strict,,,0.01,,0.48750382462932124,0.34560176665439823,0.06280928341028823,0.5384615384615384,0.7703349282296651,40.0,40,40,10,4
Gram-Schmidt,logreg,with_missing_indicators,,,0.1,,0.2728247391203303,0.3395814711604185,0.0590956908270121,0.7692307692307693,0.5516062884483938,40.0,40,40,10,4
