selector,classifier,replication_mode,fold,n_train,n_test,n_test_fails,n_selected_features,BER,True+,True-,threshold_oof_global,alpha,gamma,C,n_neighbors
S2N,krr,strict,1,1410,157,10,40,0.25646258503401365,0.8,0.6870748299319728,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,2,1410,157,10,40,0.3302721088435374,0.7,0.6394557823129252,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,3,1410,157,10,40,0.31666666666666665,0.7,0.6666666666666666,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,4,1410,157,11,40,0.3212951432129514,0.7272727272727273,0.6301369863013698,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,5,1410,157,11,40,0.33250311332503113,0.6363636363636364,0.6986301369863014,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,6,1410,157,11,40,0.26992528019925277,0.7272727272727273,0.7328767123287672,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,7,1410,157,11,40,0.3907222914072229,0.6363636363636364,0.5821917808219178,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,8,1411,156,10,40,0.40410958904109595,0.5,0.6917808219178082,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,9,1411,156,10,40,0.33835616438356164,0.7,0.6232876712328768,-0.08437325172980419,10.0,0.1,,
S2N,krr,strict,10,1411,156,10,40,0.24726027397260264,0.8,0.7054794520547946,-0.08437325172980419,10.0,0.1,,
S2N,krr,with_missing_indicators,1,1410,157,10,40,0.258843537414966,0.7,0.782312925170068,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,2,1410,157,10,40,0.35306122448979593,0.6,0.6938775510204082,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,3,1410,157,10,40,0.3064625850340137,0.7,0.6870748299319728,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,4,1410,157,11,40,0.2630759651307597,0.7272727272727273,0.7465753424657534,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,5,1410,157,11,40,0.3676836861768369,0.5454545454545454,0.7191780821917808,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,6,1410,157,11,40,0.2630759651307597,0.7272727272727273,0.7465753424657534,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,7,1410,157,11,40,0.3212951432129514,0.7272727272727273,0.6301369863013698,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,8,1411,156,10,40,0.3541095890410959,0.6,0.6917808219178082,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,9,1411,156,10,40,0.3541095890410959,0.6,0.6917808219178082,-0.06952740606179804,10.0,0.1,,
S2N,krr,with_missing_indicators,10,1411,156,10,40,0.23698630136986298,0.8,0.726027397260274,-0.06952740606179804,10.0,0.1,,
Welch-t,krr,strict,1,1410,157,10,40,0.23945578231292508,0.8,0.7210884353741497,-0.18798917342995142,1.0,,,
Welch-t,krr,strict,2,1410,157,10,40,0.34625850340136055,0.6,0.7074829931972789,-0.18798917342995142,1.0,,,
