selector,classifier,replication_mode,alpha,gamma,C,n_neighbors,threshold_oof_global,threshold_full_dataset,BER_full_dataset,True+_full_dataset,True-_full_dataset,n_samples_full_dataset,n_fails_full_dataset,n_selected_features_full_dataset,threshold_full_dataset_role
S2N,krr,strict,10.0,0.1,,,-0.08437325172980419,0.07940287130330034,0.07193135811556861,0.9326923076923077,0.9234449760765551,1567,104,40,diagnostic_only
S2N,krr,with_missing_indicators,10.0,0.1,,,-0.06952740606179804,0.059303252487728726,0.0598776223776224,0.9711538461538461,0.9090909090909091,1567,104,40,diagnostic_only
Welch-t,krr,strict,1.0,,,,-0.18798917342995142,0.19127194139427295,0.051037778011462254,0.9519230769230769,0.9460013670539986,1567,104,40,diagnostic_only
Welch-t,krr,with_missing_indicators,10.0,,,,0.002797966723064871,0.011202814473770362,0.2847185709027815,0.7019230769230769,0.7286397812713602,1567,104,40,diagnostic_only
F-test,krr,strict,10.0,0.1,,,-0.21159243730759902,0.06692375585406551,0.08637743835112255,0.8942307692307693,0.9330143540669856,1567,104,40,diagnostic_only
F-test,krr,with_missing_indicators,10.0,,,,-0.09266566945701946,0.11466168174707742,0.1895702981229297,0.7596153846153846,0.861244019138756,1567,104,40,diagnostic_only
Pearson,krr,strict,10.0,0.1,,,-0.21159243730759902,0.06692375585406551,0.08637743835112255,0.8942307692307693,0.9330143540669856,1567,104,40,diagnostic_only
Pearson,krr,with_missing_indicators,10.0,,,,-0.09266566945701946,0.11466168174707742,0.1895702981229297,0.7596153846153846,0.861244019138756,1567,104,40,diagnostic_only
ReliefF,krr,strict,1.0,0.01,,10.0,-0.22763472946167979,0.0074404623167902695,0.08724170566275835,0.9615384615384616,0.8639781271360218,1567,104,40,diagnostic_only
ReliefF,krr,with_missing_indicators,10.0,0.01,,10.0,-0.06518485693134643,-0.10977397964551888,0.2008452074241548,0.9038461538461539,0.6944634313055366,1567,104,40,diagnostic_only
Gram-Schmidt,krr,strict,10.0,0.01,,,-0.024743675230447945,-0.05707130886671753,0.18321152531678853,0.8461538461538461,0.7874231032125769,1567,104,40,diagnostic_only
Gram-Schmidt,krr,with_missing_indicators,1.0,,,,-0.40001166815861966,0.09624182693294883,0.012645249487354793,1.0,0.9747095010252905,1567,104,40,diagnostic_only
S2N,logreg,strict,,,10.0,,0.47072904872500476,0.545776855055409,0.22750604658499396,0.7596153846153846,0.7853725222146275,1567,104,40,diagnostic_only
S2N,logreg,with_missing_indicators,,,0.01,,0.40416100359229173,0.4776763116183221,0.27018047741731954,0.7788461538461539,0.6807928913192071,1567,104,40,diagnostic_only
Welch-t,logreg,strict,,,1.0,,0.5983602507344885,0.4216355004813969,0.22718400021031604,0.8942307692307693,0.6514012303485988,1567,104,40,diagnostic_only
Welch-t,logreg,with_missing_indicators,,,0.01,,0.505959615724288,0.5037174051795618,0.29670329670329676,0.6923076923076923,0.7142857142857143,1567,104,40,diagnostic_only
F-test,logreg,strict,,,0.01,,0.48133778049274895,0.5160118327333564,0.26352923392397076,0.7019230769230769,0.7710184552289815,1567,104,40,diagnostic_only
F-test,logreg,with_missing_indicators,,,1.0,,0.5286968450647964,0.5042297133485276,0.23295125926704874,0.7692307692307693,0.7648667122351333,1567,104,40,diagnostic_only
Pearson,logreg,strict,,,0.01,,0.48133778049274895,0.5160118327333564,0.26352923392397076,0.7019230769230769,0.7710184552289815,1567,104,40,diagnostic_only
Pearson,logreg,with_missing_indicators,,,1.0,,0.5286968450647964,0.5042297133485276,0.23295125926704874,0.7692307692307693,0.7648667122351333,1567,104,40,diagnostic_only
ReliefF,logreg,strict,,,0.1,10.0,0.40631540693970053,0.5092913397545586,0.24634904569115101,0.7403846153846154,0.7669172932330827,1567,104,40,diagnostic_only
ReliefF,logreg,with_missing_indicators,,,0.1,10.0,0.4302311803184964,0.515155037429279,0.23673366107576643,0.7596153846153846,0.7669172932330827,1567,104,40,diagnostic_only
Gram-Schmidt,logreg,strict,,,0.01,,0.48750382462932124,0.53983879787405,0.20670447973079553,0.7403846153846154,0.8462064251537936,1567,104,40,diagnostic_only
Gram-Schmidt,logreg,with_missing_indicators,,,0.1,,0.2728247391203303,0.46736726037473236,0.18182146800567855,0.8557692307692307,0.7805878332194122,1567,104,40,diagnostic_only
