selector,classifier,replication_mode,n_folds,n_boot,boot_seed,mean_BER,std_BER,CI_lower_BER,CI_upper_BER,mean_True+,std_True+,CI_lower_True+,CI_upper_True+,mean_True-,std_True-,CI_lower_True-,CI_upper_True-
S2N,krr,strict,10,1000,42,0.3207573216085936,0.052193507320171806,0.29127336052727437,0.35033739759913934,0.6927272727272727,0.08759620187077459,0.638159090909091,0.7382045454545455,0.66575808405554,0.04599929703266906,0.6385841254309944,0.6926804351877737
S2N,krr,with_missing_indicators,10,1000,42,0.30787035860421386,0.04889835510189497,0.2807666456993757,0.3348086152269127,0.6727272727272726,0.08074492481499534,0.6245454545454546,0.7182045454545454,0.7115320100642997,0.042229254272455156,0.6871441384773087,0.7350815394651011
Welch-t,krr,strict,10,1000,42,0.31520535237756364,0.05199218379994938,0.28651126833049534,0.34506171584449474,0.6354545454545455,0.09481023529268054,0.5781818181818181,0.6918409090909091,0.734134749790327,0.0336663637778301,0.7165283990308452,0.7554885378809058
Welch-t,krr,with_missing_indicators,10,1000,42,0.2918119128099559,0.09933494881756465,0.23443685562643485,0.3519096405062648,0.7054545454545454,0.19686244166076758,0.5881363636363637,0.8209318181818182,0.7109216289255429,0.030169631470987016,0.6937926334917529,0.7280877830584288
F-test,krr,strict,10,1000,42,0.2891438991536838,0.07631382069552066,0.24731166289679007,0.3340986860497623,0.8072727272727273,0.1403655204772275,0.7163409090909092,0.8827272727272728,0.6144394744199049,0.03636345938128573,0.5936536669462306,0.6346130369956203
F-test,krr,with_missing_indicators,10,1000,42,0.29240886641082336,0.07592464038090578,0.24199775713523264,0.33606193822485403,0.7118181818181818,0.14715233887243864,0.6263409090909091,0.809090909090909,0.7033640853601715,0.03967954089860375,0.6791946230547012,0.7248406485882024
Pearson,krr,strict,10,1000,42,0.2891438991536838,0.07631382069552066,0.24731166289679007,0.3340986860497623,0.8072727272727273,0.1403655204772275,0.7163409090909092,0.8827272727272728,0.6144394744199049,0.03636345938128573,0.5936536669462306,0.6346130369956203
Pearson,krr,with_missing_indicators,10,1000,42,0.29240886641082336,0.07592464038090578,0.24199775713523264,0.33606193822485403,0.7118181818181818,0.14715233887243864,0.6263409090909091,0.809090909090909,0.7033640853601715,0.03967954089860375,0.6791946230547012,0.7248406485882024
ReliefF,krr,strict,10,1000,42,0.2790706195305021,0.06959311284077074,0.23883000292271328,0.317962532086309,0.7227272727272729,0.11901416294942718,0.6590909090909091,0.7918181818181819,0.719131488211723,0.044251003866498585,0.6928904575528843,0.7440889712049202
ReliefF,krr,with_missing_indicators,10,1000,42,0.2888464601282605,0.07104312089620189,0.24716897624554182,0.3283741369524149,0.7045454545454545,0.1396736324423214,0.6254545454545455,0.7918181818181819,0.7177616251980244,0.03722434381716998,0.6963130183580281,0.7392694063926941
Gram-Schmidt,krr,strict,10,1000,42,0.3316163028100406,0.07684571853846325,0.2865514545793411,0.3793851797256885,0.5418181818181818,0.15647635119994485,0.4454318181818182,0.6345454545454545,0.7949492125617371,0.02573242091898713,0.780746785015376,0.8107026372192714
Gram-Schmidt,krr,with_missing_indicators,10,1000,42,0.31846510958056945,0.06238566908984776,0.2841547216645064,0.3575528343965233,0.6836363636363636,0.13469006697382754,0.5999772727272727,0.7581818181818181,0.6794334172024975,0.023673023195182264,0.6668529261019477,0.6926496831609357
S2N,logreg,strict,10,1000,42,0.34036258588117685,0.10036287333829262,0.2806049338789065,0.40025729195787907,0.6063636363636363,0.19926633109251227,0.4863409090909091,0.719090909090909,0.71291119187401,0.03680780412926988,0.6915376013419068,0.7354710651383841
S2N,logreg,with_missing_indicators,10,1000,42,0.3465398886827459,0.06521981379096642,0.3086812177548478,0.3815861543870349,0.7518181818181818,0.12428306800097727,0.6836136363636364,0.8272727272727274,0.5551020408163266,0.041690977187481194,0.5300909747460629,0.5791275277234182
Welch-t,logreg,strict,10,1000,42,0.34293635262324107,0.09453039379067785,0.2878319810489576,0.40442635821451867,0.5,0.18895099718933206,0.3790909090909091,0.6127272727272727,0.8141272947535179,0.030868454546982137,0.7961979312272854,0.8317739493057498
