selector,classifier,replication_mode,alpha,gamma,C,n_neighbors,threshold_oof_global,mean_BER_oof,std_BER_fold,mean_True+_oof,mean_True-_oof,mean_n_selected_features,min_n_selected_features,max_n_selected_features,n_folds
S2N,krr,strict,0.1,,,,-0.8136666742562945,0.38644907723855093,0.08615465962426896,0.75,0.47710184552289814,40.0,40,40,10
S2N,krr,strict,0.1,0.01,,,-0.3299979790139157,0.36366922551133074,0.06008740394244214,0.5576923076923077,0.7149692412850308,40.0,40,40,10
S2N,krr,strict,0.1,0.1,,,-0.5911448554757396,0.36972895525527105,0.05656817991336442,0.5961538461538461,0.6643882433356118,40.0,40,40,10
S2N,krr,strict,0.1,1.0,,,-9.539057675345904e-05,0.3938331405436668,0.05626952060649566,0.6634615384615384,0.5488721804511278,40.0,40,40,10
S2N,krr,strict,1.0,,,,-0.5830653711669074,0.3579446868920553,0.04315288069012421,0.8076923076923077,0.4764183185235817,40.0,40,40,10
S2N,krr,strict,1.0,0.01,,,0.09841195256173102,0.3450562595299438,0.08703587880392095,0.4807692307692308,0.8291182501708817,40.0,40,40,10
S2N,krr,strict,1.0,0.1,,,-0.4207679871654541,0.3435248961564752,0.05553788271291429,0.6923076923076923,0.6206425153793574,40.0,40,40,10
S2N,krr,strict,1.0,1.0,,,-3.9599793342598685e-05,0.38453651611546347,0.05460685483910818,0.6923076923076923,0.5386192754613808,40.0,40,40,10
S2N,krr,strict,10.0,,,,-0.06504092794106217,0.32381762973868233,0.08375707386110447,0.6442307692307693,0.7081339712918661,40.0,40,40,10
S2N,krr,strict,10.0,0.01,,,0.015261264035852873,0.32288435248961567,0.07585137261078187,0.6057692307692307,0.7484620642515379,40.0,40,40,10
S2N,krr,strict,10.0,0.1,,,-0.08437325172980419,0.3209685051790315,0.052193507320171806,0.6923076923076923,0.6657552973342447,40.0,40,40,10
S2N,krr,strict,10.0,1.0,,,-3.253899683060918e-08,0.3819207108680793,0.07888480834518119,0.5,0.7361585782638415,40.0,40,40,10
S2N,krr,with_missing_indicators,0.1,,,,-0.3175470385871364,0.39928492560071505,0.06533071699287492,0.38461538461538464,0.8168147641831852,40.0,40,40,10
S2N,krr,with_missing_indicators,0.1,0.01,,,-0.5214934861094671,0.38872969136127034,0.0547344879517061,0.6538461538461539,0.5686944634313056,40.0,40,40,10
S2N,krr,with_missing_indicators,0.1,0.1,,,-0.6046992979026045,0.3797091066827909,0.07983664580515636,0.5673076923076923,0.6732740943267259,40.0,40,40,10
S2N,krr,with_missing_indicators,0.1,1.0,,,-5.84750547150898e-05,0.3955452442294547,0.0995633502011903,0.5192307692307693,0.6896787423103212,40.0,40,40,10
S2N,krr,with_missing_indicators,1.0,,,,-0.36896375125664227,0.3497456490877544,0.05587463587785786,0.6634615384615384,0.6370471633629529,40.0,40,40,10
S2N,krr,with_missing_indicators,1.0,0.01,,,-0.03776950842228749,0.3442347126557652,0.07952528992907755,0.5384615384615384,0.773069036226931,40.0,40,40,10
S2N,krr,with_missing_indicators,1.0,0.1,,,-0.30111649355263087,0.3571757190178242,0.07390696214659609,0.5576923076923077,0.7279562542720438,40.0,40,40,10
S2N,krr,with_missing_indicators,1.0,1.0,,,-2.210685780641635e-05,0.38727391030022607,0.10276434745403523,0.5480769230769231,0.6773752563226247,40.0,40,40,10
S2N,krr,with_missing_indicators,10.0,,,,-0.14833208621285585,0.3133806982491193,0.07717455189830592,0.7211538461538461,0.6520847573479153,40.0,40,40,10
S2N,krr,with_missing_indicators,10.0,0.01,,,0.002223588820014496,0.3259602239865398,0.07593842582288171,0.6057692307692307,0.7423103212576897,40.0,40,40,10
S2N,krr,with_missing_indicators,10.0,0.1,,,-0.06952740606179804,0.30768573531731425,0.04889835510189497,0.6730769230769231,0.7115516062884484,40.0,40,40,10
S2N,krr,with_missing_indicators,10.0,1.0,,,-5.37484403485381e-07,0.3643757558231242,0.07273297835818561,0.5480769230769231,0.7231715652768285,40.0,40,40,10
Welch-t,krr,strict,0.1,,,,-0.3919039744111319,0.37205557600294437,0.044820312654048504,0.4807692307692308,0.7751196172248804,40.0,40,40,10
Welch-t,krr,strict,0.1,0.01,,,-0.45336090239664584,0.3342512750407487,0.053979764542260104,0.7115384615384616,0.619958988380041,40.0,40,40,10
Welch-t,krr,strict,0.1,0.1,,,-0.6824040651049763,0.3961794784163205,0.0961049147304002,0.6826923076923077,0.5249487354750513,40.0,40,40,10
Welch-t,krr,strict,0.1,1.0,,,-3.7454621145472815e-08,0.44594878805405114,0.06800740517238564,0.3076923076923077,0.8004101161995899,40.0,40,40,10
Welch-t,krr,strict,1.0,,,,-0.18798917342995142,0.31563830905936174,0.05199218379994938,0.6346153846153846,0.734107997265892,40.0,40,40,10
Welch-t,krr,strict,1.0,0.01,,,-0.1157452278714719,0.32003522792996475,0.05818595730390414,0.6538461538461539,0.7060833902939166,40.0,40,40,10
Welch-t,krr,strict,1.0,0.1,,,-0.3717319519853603,0.3726898101898102,0.08735911085606983,0.6442307692307693,0.6103896103896104,40.0,40,40,10
Welch-t,krr,strict,1.0,1.0,,,-1.6025086283704377e-05,0.4274179767600821,0.09362927436528154,0.625,0.5201640464798359,40.0,40,40,10
Welch-t,krr,strict,10.0,,,,0.0702560111235824,0.3226346022398654,0.06657821852209642,0.5673076923076923,0.7874231032125769,40.0,40,40,10
Welch-t,krr,strict,10.0,0.01,,,0.02903444464764638,0.3256184604868815,0.05535877757712058,0.6057692307692307,0.7429938482570062,40.0,40,40,10
Welch-t,krr,strict,10.0,0.1,,,-0.03699224682436469,0.33541458541458535,0.06214145190574794,0.6538461538461539,0.6753246753246753,40.0,40,40,10
Welch-t,krr,strict,10.0,1.0,,,-2.2598111355035314e-09,0.4224788369525212,0.07542102127398627,0.40384615384615385,0.7511961722488039,40.0,40,40,10
Welch-t,krr,with_missing_indicators,0.1,,,,0.008161158653649636,0.31283519112466485,0.08669895173726594,0.6634615384615384,0.7108680792891319,40.0,40,40,10
Welch-t,krr,with_missing_indicators,0.1,0.01,,,0.017553965600763513,0.30390333350859666,0.08840556426608215,0.6826923076923077,0.709501025290499,40.0,40,40,10
Welch-t,krr,with_missing_indicators,0.1,0.1,,,-0.12480279046872056,0.34120156159629844,0.06338265544174679,0.6634615384615384,0.6541353383458647,40.0,40,40,10
Welch-t,krr,with_missing_indicators,0.1,1.0,,,-0.0887084002901588,0.3661535832588464,0.07169661036602182,0.5192307692307693,0.7484620642515379,40.0,40,40,10
Welch-t,krr,with_missing_indicators,1.0,,,,-0.009452822535408245,0.30283203638466794,0.06945909074699129,0.7019230769230769,0.6924128503075871,40.0,40,40,10
Welch-t,krr,with_missing_indicators,1.0,0.01,,,0.005973707221378041,0.3004626951995373,0.09449142365484865,0.6923076923076923,0.706766917293233,40.0,40,40,10
Welch-t,krr,with_missing_indicators,1.0,0.1,,,-0.01770630840660914,0.32210881224039123,0.092221235132518,0.6442307692307693,0.7115516062884484,40.0,40,40,10
Welch-t,krr,with_missing_indicators,1.0,1.0,,,-0.028540577514104853,0.3489503917135497,0.0675250001182117,0.5673076923076923,0.7347915242652084,40.0,40,40,10
Welch-t,krr,with_missing_indicators,10.0,,,,0.002797966723064871,0.2936044218938956,0.09933494881756465,0.7019230769230769,0.7108680792891319,40.0,40,40,10
Welch-t,krr,with_missing_indicators,10.0,0.01,,,0.0010550470893893047,0.2966802933908197,0.0974297886324947,0.7019230769230769,0.7047163362952836,40.0,40,40,10
Welch-t,krr,with_missing_indicators,10.0,0.1,,,-0.024539742628286287,0.30419909038330095,0.0704692263173334,0.7019230769230769,0.6896787423103212,40.0,40,40,10
Welch-t,krr,with_missing_indicators,10.0,1.0,,,-0.050247244691416615,0.3292628424207371,0.09264599045771088,0.6538461538461539,0.6876281613123718,40.0,40,40,10
F-test,krr,strict,0.1,,,,-0.7421962503287503,0.3697026657552973,0.05776780520840683,0.75,0.5105946684894054,40.0,40,40,10
F-test,krr,strict,0.1,0.01,,,-0.5104278767858683,0.35988353751511637,0.05706476093288518,0.7115384615384616,0.5686944634313056,40.0,40,40,10
F-test,krr,strict,0.1,0.1,,,-0.7675629700492115,0.3602022977022977,0.07231644029237352,0.7211538461538461,0.5584415584415584,40.0,40,40,10
F-test,krr,strict,0.1,1.0,,,-0.0002494204238529407,0.33723841947526156,0.06561490928210136,0.6057692307692307,0.719753930280246,40.0,40,40,10
F-test,krr,strict,1.0,,,,-0.3690322035934741,0.3291018192333982,0.06908743665553345,0.7211538461538461,0.6206425153793574,40.0,40,40,10
F-test,krr,strict,1.0,0.01,,,-0.14345430861998643,0.3252076870497923,0.06410055452006917,0.6346153846153846,0.7149692412850308,40.0,40,40,10
F-test,krr,strict,1.0,0.1,,,-0.5541008290304265,0.32278905305221095,0.05855111186240551,0.7884615384615384,0.5659603554340397,40.0,40,40,10
F-test,krr,strict,1.0,1.0,,,-9.884135948942549e-05,0.3337747778537252,0.07912049707075107,0.625,0.7074504442925496,40.0,40,40,10
F-test,krr,strict,10.0,,,,-0.10271863121608837,0.2983891108891109,0.07002604322850846,0.7019230769230769,0.7012987012987013,40.0,40,40,10
F-test,krr,strict,10.0,0.01,,,-0.08312490004768974,0.29321665176928335,0.06614615130354354,0.7211538461538461,0.6924128503075871,40.0,40,40,10
F-test,krr,strict,10.0,0.1,,,-0.21159243730759902,0.2889084599610916,0.07631382069552066,0.8076923076923077,0.6144907723855092,40.0,40,40,10
F-test,krr,strict,10.0,1.0,,,-1.434996566856599e-05,0.3450069667174931,0.0765395691545509,0.6442307692307693,0.6657552973342447,40.0,40,40,10
F-test,krr,with_missing_indicators,0.1,,,,-0.5505140650772613,0.3775895157474105,0.06337974376547685,0.5961538461538461,0.6486671223513328,40.0,40,40,10
F-test,krr,with_missing_indicators,0.1,0.01,,,-0.1881473654598309,0.3620984278879016,0.07657888671129098,0.5,0.7758031442241968,40.0,40,40,10
F-test,krr,with_missing_indicators,0.1,0.1,,,-0.6160506202478377,0.388686970923813,0.08549578914123754,0.5288461538461539,0.69377990430622,40.0,40,40,10
F-test,krr,with_missing_indicators,0.1,1.0,,,-0.004765041994537956,0.3300811031074189,0.08355300667774054,0.7403846153846154,0.5994531784005468,40.0,40,40,10
F-test,krr,with_missing_indicators,1.0,,,,-0.18324410421607396,0.3218360586781639,0.05288469218322142,0.6153846153846154,0.7409432672590567,40.0,40,40,10
F-test,krr,with_missing_indicators,1.0,0.01,,,-0.06682729631383112,0.3222238288027761,0.06393499337502147,0.5961538461538461,0.7593984962406015,40.0,40,40,10
F-test,krr,with_missing_indicators,1.0,0.1,,,-0.5195297060459745,0.34206582890793413,0.061207057674959146,0.7307692307692307,0.5850991114149009,40.0,40,40,10
F-test,krr,with_missing_indicators,1.0,1.0,,,-0.0019381161445452954,0.3328152111046847,0.08533799275324856,0.7403846153846154,0.5939849624060151,40.0,40,40,10
F-test,krr,with_missing_indicators,10.0,,,,-0.09266566945701946,0.2925561280824438,0.07592464038090578,0.7115384615384616,0.7033492822966507,40.0,40,40,10
F-test,krr,with_missing_indicators,10.0,0.01,,,-0.06340332410431251,0.2928978915821021,0.07310056230267567,0.7115384615384616,0.7026657552973342,40.0,40,40,10
F-test,krr,with_missing_indicators,10.0,0.1,,,-0.055162641712289816,0.3180766601819234,0.08842572260270082,0.6153846153846154,0.7484620642515379,40.0,40,40,10
F-test,krr,with_missing_indicators,10.0,1.0,,,-0.00015441952365633448,0.33112939691887067,0.07964312986361205,0.7307692307692307,0.606971975393028,40.0,40,40,10
Pearson,krr,strict,0.1,,,,-0.7421962503287503,0.3697026657552973,0.05776780520840683,0.75,0.5105946684894054,40.0,40,40,10
Pearson,krr,strict,0.1,0.01,,,-0.5104278767858683,0.35988353751511637,0.05706476093288518,0.7115384615384616,0.5686944634313056,40.0,40,40,10
Pearson,krr,strict,0.1,0.1,,,-0.7675629700492115,0.3602022977022977,0.07231644029237352,0.7211538461538461,0.5584415584415584,40.0,40,40,10
Pearson,krr,strict,0.1,1.0,,,-0.0002494204238529407,0.33723841947526156,0.06561490928210136,0.6057692307692307,0.719753930280246,40.0,40,40,10
Pearson,krr,strict,1.0,,,,-0.3690322035934741,0.3291018192333982,0.06908743665553345,0.7211538461538461,0.6206425153793574,40.0,40,40,10
Pearson,krr,strict,1.0,0.01,,,-0.14345430861998643,0.3252076870497923,0.06410055452006917,0.6346153846153846,0.7149692412850308,40.0,40,40,10
Pearson,krr,strict,1.0,0.1,,,-0.5541008290304265,0.32278905305221095,0.05855111186240551,0.7884615384615384,0.5659603554340397,40.0,40,40,10
Pearson,krr,strict,1.0,1.0,,,-9.884135948942549e-05,0.3337747778537252,0.07912049707075107,0.625,0.7074504442925496,40.0,40,40,10
Pearson,krr,strict,10.0,,,,-0.10271863121608837,0.2983891108891109,0.07002604322850846,0.7019230769230769,0.7012987012987013,40.0,40,40,10
Pearson,krr,strict,10.0,0.01,,,-0.08312490004768974,0.29321665176928335,0.06614615130354354,0.7211538461538461,0.6924128503075871,40.0,40,40,10
Pearson,krr,strict,10.0,0.1,,,-0.21159243730759902,0.2889084599610916,0.07631382069552066,0.8076923076923077,0.6144907723855092,40.0,40,40,10
Pearson,krr,strict,10.0,1.0,,,-1.434996566856599e-05,0.3450069667174931,0.0765395691545509,0.6442307692307693,0.6657552973342447,40.0,40,40,10
Pearson,krr,with_missing_indicators,0.1,,,,-0.5505140650772613,0.3775895157474105,0.06337974376547685,0.5961538461538461,0.6486671223513328,40.0,40,40,10
Pearson,krr,with_missing_indicators,0.1,0.01,,,-0.1881473654598309,0.3620984278879016,0.07657888671129098,0.5,0.7758031442241968,40.0,40,40,10
Pearson,krr,with_missing_indicators,0.1,0.1,,,-0.6160506202478377,0.388686970923813,0.08549578914123754,0.5288461538461539,0.69377990430622,40.0,40,40,10
Pearson,krr,with_missing_indicators,0.1,1.0,,,-0.004765041994537956,0.3300811031074189,0.08355300667774054,0.7403846153846154,0.5994531784005468,40.0,40,40,10
Pearson,krr,with_missing_indicators,1.0,,,,-0.18324410421607396,0.3218360586781639,0.05288469218322142,0.6153846153846154,0.7409432672590567,40.0,40,40,10
Pearson,krr,with_missing_indicators,1.0,0.01,,,-0.06682729631383112,0.3222238288027761,0.06393499337502147,0.5961538461538461,0.7593984962406015,40.0,40,40,10
Pearson,krr,with_missing_indicators,1.0,0.1,,,-0.5195297060459745,0.34206582890793413,0.061207057674959146,0.7307692307692307,0.5850991114149009,40.0,40,40,10
Pearson,krr,with_missing_indicators,1.0,1.0,,,-0.0019381161445452954,0.3328152111046847,0.08533799275324856,0.7403846153846154,0.5939849624060151,40.0,40,40,10
Pearson,krr,with_missing_indicators,10.0,,,,-0.09266566945701946,0.2925561280824438,0.07592464038090578,0.7115384615384616,0.7033492822966507,40.0,40,40,10
Pearson,krr,with_missing_indicators,10.0,0.01,,,-0.06340332410431251,0.2928978915821021,0.07310056230267567,0.7115384615384616,0.7026657552973342,40.0,40,40,10
Pearson,krr,with_missing_indicators,10.0,0.1,,,-0.055162641712289816,0.3180766601819234,0.08842572260270082,0.6153846153846154,0.7484620642515379,40.0,40,40,10
Pearson,krr,with_missing_indicators,10.0,1.0,,,-0.00015441952365633448,0.33112939691887067,0.07964312986361205,0.7307692307692307,0.606971975393028,40.0,40,40,10
ReliefF,krr,strict,0.1,,,10.0,-0.8235616599589544,0.3306956201693043,0.05024488828909314,0.7692307692307693,0.569377990430622,40.0,40,40,10
ReliefF,krr,strict,0.1,0.01,,10.0,-0.44509691857897626,0.3194207108680793,0.07892121216057474,0.625,0.7361585782638415,40.0,40,40,10
ReliefF,krr,strict,0.1,0.1,,10.0,-0.46204623982575144,0.3246391766128608,0.07831419000213755,0.5865384615384616,0.7641831852358169,40.0,40,40,10
ReliefF,krr,strict,0.1,1.0,,10.0,-7.782043985915665e-07,0.34988366896261636,0.07342434897652458,0.6057692307692307,0.6944634313055366,40.0,40,40,10
ReliefF,krr,strict,1.0,,,10.0,-0.5113789486913354,0.2893192333981808,0.06312604161698403,0.7788461538461539,0.6425153793574846,40.0,40,40,10
ReliefF,krr,strict,1.0,0.01,,10.0,-0.22763472946167979,0.27988787528261216,0.06959311284077074,0.7211538461538461,0.7190704032809296,40.0,40,40,10
ReliefF,krr,strict,1.0,0.1,,10.0,-0.3457143035921446,0.30973631631526366,0.06869723028704039,0.6730769230769231,0.7074504442925496,40.0,40,40,10
ReliefF,krr,strict,1.0,1.0,,10.0,-3.5732172239505207e-06,0.3492428624007571,0.07408225648371777,0.7307692307692307,0.570745044429255,40.0,40,40,10
ReliefF,krr,strict,10.0,,,10.0,-0.10039271466634357,0.2902557968347441,0.06233210705735128,0.6730769230769231,0.7464114832535885,40.0,40,40,10
ReliefF,krr,strict,10.0,0.01,,10.0,0.07568693262723586,0.30386061307113943,0.09287491339298716,0.5576923076923077,0.8345864661654135,40.0,40,40,10
ReliefF,krr,strict,10.0,0.1,,10.0,-0.09384352987578659,0.2887277196487723,0.07763016278908222,0.7403846153846154,0.6821599453178401,40.0,40,40,10
ReliefF,krr,strict,10.0,1.0,,10.0,-4.701655859460023e-08,0.3416123350333877,0.06634032676473298,0.6346153846153846,0.6821599453178401,40.0,40,40,10
ReliefF,krr,with_missing_indicators,0.1,,,10.0,-0.5636404770223502,0.3840403018034597,0.10154222333913282,0.47115384615384615,0.7607655502392344,40.0,40,40,10
ReliefF,krr,with_missing_indicators,0.1,0.01,,10.0,-0.5996701613280536,0.3483325884641675,0.06586973696773749,0.6826923076923077,0.6206425153793574,40.0,40,40,10
ReliefF,krr,with_missing_indicators,0.1,0.1,,10.0,-0.7355587756871421,0.3516352068983648,0.08872551811942378,0.7307692307692307,0.5659603554340397,40.0,40,40,10
ReliefF,krr,with_missing_indicators,0.1,1.0,,10.0,-7.299894776787588e-05,0.33839844366160154,0.07094269435102839,0.6923076923076923,0.6308954203691046,40.0,40,40,10
ReliefF,krr,with_missing_indicators,1.0,,,10.0,-0.5371753434327033,0.3369853830380146,0.07141415731973741,0.7115384615384616,0.6144907723855092,40.0,40,40,10
ReliefF,krr,with_missing_indicators,1.0,0.01,,10.0,-0.2475083045483095,0.2956319995793679,0.07348482993753597,0.7115384615384616,0.6971975393028025,40.0,40,40,10
ReliefF,krr,with_missing_indicators,1.0,0.1,,10.0,-0.5213234441279697,0.32249329617750666,0.07136685401864655,0.7692307692307693,0.5857826384142174,40.0,40,40,10
ReliefF,krr,with_missing_indicators,1.0,1.0,,10.0,-5.507007751163015e-06,0.3368736526631264,0.1019261555130595,0.6153846153846154,0.7108680792891319,40.0,40,40,10
ReliefF,krr,with_missing_indicators,10.0,,,10.0,-0.20119033183961693,0.3044488406330512,0.0709291522090376,0.7403846153846154,0.6507177033492823,40.0,40,40,10
ReliefF,krr,with_missing_indicators,10.0,0.01,,10.0,-0.06518485693134643,0.29018678689731325,0.07104312089620189,0.7019230769230769,0.7177033492822966,40.0,40,40,10
ReliefF,krr,with_missing_indicators,10.0,0.1,,10.0,-0.13026435809164733,0.31953244124296754,0.07965081516379037,0.7211538461538461,0.6397812713602188,40.0,40,40,10
ReliefF,krr,with_missing_indicators,10.0,1.0,,10.0,-1.2724841370375276e-07,0.33461932804038064,0.10117915975188921,0.5576923076923077,0.773069036226931,40.0,40,40,10
